CTYFIPS,CTY_NAME,total_worker_pop_2018,total_worker_pop_2013,delta_agro,pct_agro_2018,pct_agro_2013,delta_construct,pct_construct_2018,pct_construct_2013,delta_manufact,pct_manufact_2018,pct_manufact_2013,delta_wholesale,pct_wholesale_2018,pct_wholesale_2013,delta_retail,pct_retail_2018,pct_retail_2013,delta_transport_util,pct_transport_util_2018,pct_transport_util_2013,delta_information,pct_information_2018,pct_information_2013,delta_finance_realest,pct_finance_realest_2018,pct_finance_realest_2013,delta_prof_sci_mgmt_adm,pct_prof_sci_mgmt_adm_2018,pct_prof_sci_mgmt_adm_2013,delta_edu_health,pct_edu_health_2018,pct_edu_health_2013,delta_arts_ent_food_rec,pct_arts_ent_food_rec_2018,pct_arts_ent_food_rec_2013,delta_otherserv,pct_otherserv_2018,pct_otherserv_2013,delta_public_admin,pct_public_admin_2018,pct_public_admin_2013
0500000US01021,"Chilton County, Alabama",17500,17824,-0.129032258,0.027,0.031,0.19379845,0.154,0.129,0.007246377,0.139,0.138,0.3125,0.042,0.032,-0.032786885,0.118,0.122,-0.261363636,0.065,0.088,-0.3,0.007,0.01,-0.161764706,0.057,0.068,0.408163265,0.069,0.049,0.089655172,0.158,0.145,-0.26984127,0.046,0.063,0.5,0.069,0.046,-0.371794872,0.049,0.078
0500000US01023,"Choctaw County, Alabama",4264,4713,1.087719298,0.119,0.057,-0.387931034,0.071,0.116,-0.085561497,0.171,0.187,-0.153846154,0.011,0.013,0.351851852,0.146,0.108,-0.233333333,0.046,0.06,0.857142857,0.013,0.007,0.1,0.022,0.02,0.12195122,0.046,0.041,-0.028455285,0.239,0.246,-0.388888889,0.033,0.054,-0.272727273,0.04,0.055,0.272727273,0.042,0.033
0500000US01025,"Clarke County, Alabama",7647,8505,1.142857143,0.045,0.021,0.1,0.077,0.07,0.148325359,0.24,0.209,0,0.015,0.015,-0.234567901,0.124,0.162,0.181818182,0.065,0.055,-0.357142857,0.009,0.014,-0.226415094,0.041,0.053,-0.303571429,0.039,0.056,-0.093596059,0.184,0.203,0,0.06,0.06,0.702702703,0.063,0.037,-0.133333333,0.039,0.045
0500000US01027,"Clay County, Alabama",5542,5132,-0.234042553,0.036,0.047,-0.160714286,0.047,0.056,0.093023256,0.329,0.301,0.214285714,0.017,0.014,0.563380282,0.111,0.071,-0.234375,0.049,0.064,0,0.015,0.015,0.033333333,0.031,0.03,0.290322581,0.04,0.031,0.068062827,0.204,0.191,0.466666667,0.044,0.03,0.307692308,0.034,0.026,-0.64516129,0.044,0.124
0500000US01029,"Cleburne County, Alabama",5628,5799,0.02173913,0.047,0.046,0.016129032,0.126,0.124,0.010416667,0.194,0.192,-0.214285714,0.022,0.028,-0.042553191,0.135,0.141,0.382978723,0.065,0.047,-0.625,0.003,0.008,-0.034482759,0.028,0.029,-0.2,0.04,0.05,0.06043956,0.193,0.182,0.22,0.061,0.05,-0.433962264,0.03,0.053,0.191489362,0.056,0.047
0500000US01031,"Coffee County, Alabama",21725,19596,0.057142857,0.037,0.035,0.055555556,0.057,0.054,-0.025210084,0.116,0.119,0.105263158,0.021,0.019,-0.256756757,0.11,0.148,0.383333333,0.083,0.06,0.2,0.012,0.01,0.052631579,0.04,0.038,0.057971014,0.073,0.069,0.031674208,0.228,0.221,-0.013157895,0.075,0.076,-0.094339623,0.048,0.053,0,0.099,0.099
0500000US01033,"Colbert County, Alabama",22436,21470,-0.421052632,0.011,0.019,0.161764706,0.079,0.068,0.026455026,0.194,0.189,-0.363636364,0.021,0.033,0.023622047,0.13,0.127,-0.147058824,0.058,0.068,0,0.012,0.012,-0.039215686,0.049,0.051,-0.139240506,0.068,0.079,0.066326531,0.209,0.196,0,0.079,0.079,0.042553191,0.049,0.047,0.212121212,0.04,0.033
0500000US01035,"Conecuh County, Alabama",3892,3802,0.224137931,0.071,0.058,-0.253333333,0.056,0.075,-0.147783251,0.173,0.203,0.263157895,0.024,0.019,0.561904762,0.164,0.105,0.157142857,0.081,0.07,3.666666667,0.028,0.006,1.043478261,0.047,0.023,-0.717948718,0.011,0.039,-0.211267606,0.168,0.213,0.107692308,0.072,0.065,-0.482758621,0.03,0.058,0.123076923,0.073,0.065
0500000US01037,"Coosa County, Alabama",4110,4005,-0.617647059,0.013,0.034,0.144736842,0.087,0.076,-0.262773723,0.202,0.274,3.166666667,0.025,0.006,-0.148514851,0.086,0.101,0.507042254,0.107,0.071,,0.012,0,1.4,0.048,0.02,-0.387096774,0.057,0.093,0.231292517,0.181,0.147,0.279411765,0.087,0.068,0.59375,0.051,0.032,-0.423076923,0.045,0.078
0500000US01039,"Covington County, Alabama",14899,14928,-0.044776119,0.064,0.067,-0.1375,0.069,0.08,-0.077922078,0.142,0.154,0.363636364,0.03,0.022,-0.124031008,0.113,0.129,0.420289855,0.098,0.069,-0.571428571,0.006,0.014,-0.239130435,0.035,0.046,0.620689655,0.094,0.058,-0.046153846,0.186,0.195,-0.017241379,0.057,0.058,-0.12962963,0.047,0.054,0.054545455,0.058,0.055
0500000US01041,"Crenshaw County, Alabama",5612,5678,-0.352941176,0.055,0.085,-0.054794521,0.069,0.073,0.053892216,0.176,0.167,-0.423076923,0.03,0.052,0.093457944,0.117,0.107,-0.06557377,0.057,0.061,1.75,0.022,0.008,0,0.042,0.042,0.396226415,0.074,0.053,0.086021505,0.202,0.186,-0.108108108,0.033,0.037,-0.020408163,0.048,0.049,-0.050632911,0.075,0.079
0500000US01043,"Cullman County, Alabama",33003,33043,-0.225806452,0.024,0.031,0.202380952,0.101,0.084,0.055214724,0.172,0.163,0,0.03,0.03,0.129032258,0.14,0.124,0.115384615,0.058,0.052,-0.375,0.01,0.016,-0.25,0.039,0.052,0.21875,0.078,0.064,-0.024271845,0.201,0.206,-0.112676056,0.063,0.071,-0.235294118,0.052,0.068,-0.175,0.033,0.04
0500000US01045,"Dale County, Alabama",18025,19406,-0.222222222,0.021,0.027,-0.109375,0.057,0.064,0.210526316,0.115,0.095,0,0.023,0.023,0.418803419,0.166,0.117,-0.072727273,0.102,0.11,-0.333333333,0.008,0.012,-0.146341463,0.035,0.041,-0.014285714,0.069,0.07,-0.112244898,0.174,0.196,-0.021276596,0.092,0.094,-0.131147541,0.053,0.061,-0.044444444,0.086,0.09
0500000US01047,"Dallas County, Alabama",14295,13931,-0.486486486,0.019,0.037,-0.147540984,0.052,0.061,0.388297872,0.261,0.188,-0.25,0.012,0.016,-0.018348624,0.107,0.109,0.043478261,0.048,0.046,-0.625,0.006,0.016,-0.055555556,0.034,0.036,0.227272727,0.054,0.044,0.022522523,0.227,0.222,0,0.059,0.059,-0.344444444,0.059,0.09,-0.181818182,0.063,0.077
0500000US01049,"DeKalb County, Alabama",28637,27390,-0.30952381,0.029,0.042,0.388888889,0.075,0.054,0.017921147,0.284,0.279,-0.419354839,0.018,0.031,0.059322034,0.125,0.118,0.20754717,0.064,0.053,0,0.009,0.009,0.266666667,0.038,0.03,-0.169811321,0.044,0.053,-0.061797753,0.167,0.178,0.080645161,0.067,0.062,-0.232142857,0.043,0.056,0.057142857,0.037,0.035
0500000US01051,"Elmore County, Alabama",33811,34061,1.5,0.015,0.006,0.191176471,0.081,0.068,-0.087301587,0.115,0.126,-0.25,0.021,0.028,0.130841121,0.121,0.107,0.02173913,0.047,0.046,0.083333333,0.013,0.012,-0.016949153,0.058,0.059,-0.087912088,0.083,0.091,-0.042857143,0.201,0.21,0.111111111,0.08,0.072,-0.160714286,0.047,0.056,-0.008474576,0.117,0.118
0500000US01053,"Escambia County, Alabama",12182,12346,-0.148148148,0.023,0.027,0.134328358,0.076,0.067,0.18,0.177,0.15,0,0.019,0.019,-0.166666667,0.115,0.138,0.145454545,0.063,0.055,-0.090909091,0.01,0.011,-0.028571429,0.034,0.035,0.104166667,0.053,0.048,-0.095890411,0.198,0.219,-0.090909091,0.09,0.099,-0.245901639,0.046,0.061,0.385714286,0.097,0.07
0500000US01055,"Etowah County, Alabama",42367,39289,0,0.007,0.007,-0.075757576,0.061,0.066,0.049723757,0.19,0.181,-0.212121212,0.026,0.033,0.092592593,0.118,0.108,-0.192982456,0.046,0.057,0.357142857,0.019,0.014,0.083333333,0.039,0.036,-0.050847458,0.056,0.059,-0.041152263,0.233,0.243,0.129411765,0.096,0.085,0.14,0.057,0.05,-0.118644068,0.052,0.059
0500000US01057,"Fayette County, Alabama",6380,6141,-0.390625,0.039,0.064,0.305555556,0.047,0.036,-0.07480315,0.235,0.254,1.076923077,0.027,0.013,-0.112676056,0.126,0.142,0.104477612,0.074,0.067,1.125,0.017,0.008,0.333333333,0.032,0.024,-0.344262295,0.04,0.061,0.055793991,0.246,0.233,-0.173076923,0.043,0.052,0.708333333,0.041,0.024,0.545454545,0.034,0.022
0500000US01059,"Franklin County, Alabama",12849,12648,-0.047619048,0.02,0.021,0.137931034,0.099,0.087,-0.089783282,0.294,0.323,-0.225806452,0.024,0.031,-0.14953271,0.091,0.107,-0.290322581,0.044,0.062,1.7,0.027,0.01,0.058823529,0.036,0.034,0.459459459,0.054,0.037,-0.037234043,0.181,0.188,0.55,0.062,0.04,0.096774194,0.034,0.031,0.066666667,0.032,0.03
0500000US01061,"Geneva County, Alabama",10047,10795,-0.066666667,0.056,0.06,-0.06122449,0.092,0.098,0.188976378,0.151,0.127,0.036363636,0.057,0.055,-0.170731707,0.102,0.123,0.089552239,0.073,0.067,0,0.006,0.006,-0.1,0.027,0.03,-0.032786885,0.059,0.061,0.082051282,0.211,0.195,-0.125,0.049,0.056,0.076923077,0.056,0.052,-0.085714286,0.064,0.07
0500000US01063,"Greene County, Alabama",2204,2652,-0.04,0.024,0.025,-0.359550562,0.057,0.089,0.440217391,0.265,0.184,,0.003,0,-0.351145038,0.085,0.131,-0.774193548,0.021,0.093,,0.01,0,1.346153846,0.061,0.026,0.575,0.063,0.04,0.171296296,0.253,0.216,-0.475247525,0.053,0.101,-0.8,0.01,0.05,1.086956522,0.096,0.046
0500000US01065,"Hale County, Alabama",5083,5462,-0.473684211,0.05,0.095,0.086206897,0.063,0.058,0.257861635,0.2,0.159,-0.62962963,0.01,0.027,-0.147058824,0.116,0.136,0.027027027,0.038,0.037,-1,0,0.005,0.225806452,0.038,0.031,0.603448276,0.093,0.058,-0.15,0.238,0.28,1.088235294,0.071,0.034,1.523809524,0.053,0.021,-0.482758621,0.03,0.058
0500000US01067,"Henry County, Alabama",6868,6749,0.375,0.044,0.032,-0.588235294,0.035,0.085,-0.266233766,0.113,0.154,0.157894737,0.044,0.038,0.469135802,0.119,0.081,0.671428571,0.117,0.07,0.714285714,0.012,0.007,-0.326530612,0.033,0.049,0.480769231,0.077,0.052,-0.066666667,0.238,0.255,0.418918919,0.105,0.074,-0.333333333,0.042,0.063,-0.487804878,0.021,0.041
0500000US01069,"Houston County, Alabama",44291,44194,0.25,0.015,0.012,-0.079365079,0.058,0.063,0.043478261,0.096,0.092,-0.051282051,0.037,0.039,0.043165468,0.145,0.139,-0.082352941,0.078,0.085,-0.066666667,0.014,0.015,0.024390244,0.042,0.041,0,0.076,0.076,0.021459227,0.238,0.233,0.052083333,0.101,0.096,-0.116666667,0.053,0.06,-0.040816327,0.047,0.049
0500000US01071,"Jackson County, Alabama",20189,21246,-0.527777778,0.017,0.036,-0.1,0.072,0.08,0.169491525,0.276,0.236,-0.1875,0.013,0.016,0.230769231,0.128,0.104,-0.242857143,0.053,0.07,0.333333333,0.008,0.006,-0.066666667,0.042,0.045,0.230769231,0.064,0.052,-0.053658537,0.194,0.205,-0.184615385,0.053,0.065,0.378378378,0.051,0.037,-0.382978723,0.029,0.047
0500000US01073,"Jefferson County, Alabama",302428,291158,0,0.007,0.007,-0.118644068,0.052,0.059,0.070588235,0.091,0.085,-0.09375,0.029,0.032,-0.027027027,0.108,0.111,0.057692308,0.055,0.052,-0.083333333,0.022,0.024,-0.033707865,0.086,0.089,0.009433962,0.107,0.106,-0.003921569,0.254,0.255,0.095238095,0.092,0.084,0.037037037,0.056,0.054,0,0.04,0.04
0500000US01075,"Lamar County, Alabama",5338,5583,0,0.034,0.034,0.49122807,0.085,0.057,-0.065306122,0.229,0.245,0.611111111,0.029,0.018,-0.293577982,0.077,0.109,-0.151898734,0.067,0.079,-0.47826087,0.012,0.023,0,0.039,0.039,0.857142857,0.078,0.042,-0.112195122,0.182,0.205,-0.440677966,0.033,0.059,0.155172414,0.067,0.058,1.125,0.068,0.032
0500000US01077,"Lauderdale County, Alabama",40130,39261,-0.375,0.01,0.016,-0.1125,0.071,0.08,0.022556391,0.136,0.133,-0.034482759,0.028,0.029,-0.105263158,0.136,0.152,-0.086956522,0.063,0.069,0.181818182,0.013,0.011,-0.023809524,0.041,0.042,0.054794521,0.077,0.073,0.046082949,0.227,0.217,0.238095238,0.104,0.084,-0.15625,0.054,0.064,0.25,0.04,0.032
0500000US01079,"Lawrence County, Alabama",12568,12984,-0.205882353,0.027,0.034,-0.032608696,0.089,0.092,-0.051181102,0.241,0.254,0.208333333,0.029,0.024,-0.154545455,0.093,0.11,0.381818182,0.076,0.055,0.714285714,0.012,0.007,0.37037037,0.037,0.027,0.016393443,0.062,0.061,0.072625698,0.192,0.179,-0.196721311,0.049,0.061,-0.15,0.051,0.06,0.138888889,0.041,0.036
0500000US01081,"Lee County, Alabama",72956,65065,-0.4,0.006,0.01,-0.103448276,0.052,0.058,0.203539823,0.136,0.113,0.142857143,0.016,0.014,-0.066115702,0.113,0.121,0.294117647,0.044,0.034,-0.210526316,0.015,0.019,0.140350877,0.065,0.057,0.0625,0.085,0.08,-0.020547945,0.286,0.292,-0.137614679,0.094,0.109,0.086956522,0.05,0.046,-0.25,0.036,0.048
0500000US01083,"Limestone County, Alabama",39595,36166,-0.1875,0.013,0.016,0.051282051,0.082,0.078,0.033898305,0.183,0.177,-0.086956522,0.021,0.023,0.044247788,0.118,0.113,-0.063829787,0.044,0.047,-0.294117647,0.012,0.017,-0.408163265,0.029,0.049,0.0390625,0.133,0.128,-0.058510638,0.177,0.188,0.254237288,0.074,0.059,0,0.045,0.045,0.186440678,0.07,0.059
0500000US01085,"Lowndes County, Alabama",3457,3543,0.078947368,0.041,0.038,0,0.058,0.058,-0.281853282,0.186,0.259,0.279069767,0.055,0.043,0,0.121,0.121,0.090909091,0.06,0.055,-0.772727273,0.005,0.022,0.857142857,0.039,0.021,0.111111111,0.07,0.063,0.316770186,0.212,0.161,-0.176470588,0.056,0.068,0.03030303,0.034,0.033,0.103448276,0.064,0.058
0500000US01087,"Macon County, Alabama",7289,7587,0.307692308,0.017,0.013,-0.527027027,0.035,0.074,0.096296296,0.148,0.135,1,0.012,0.006,0.302325581,0.112,0.086,-0.153846154,0.033,0.039,-0.571428571,0.003,0.007,-0.107142857,0.025,0.028,0.018518519,0.055,0.054,0.008746356,0.346,0.343,-0.081081081,0.102,0.111,0.073170732,0.044,0.041,0.096774194,0.068,0.062
0500000US01089,"Madison County, Alabama",172631,160131,0,0.006,0.006,-0.188679245,0.043,0.053,-0.087301587,0.115,0.126,0.133333333,0.017,0.015,0.009345794,0.108,0.107,0.033333333,0.031,0.03,-0.153846154,0.022,0.026,-0.142857143,0.036,0.042,0.107344633,0.196,0.177,0.093264249,0.211,0.193,-0.023809524,0.082,0.084,-0.142857143,0.042,0.049,0,0.091,0.091
0500000US01091,"Marengo County, Alabama",6563,7495,0,0.039,0.039,-0.225352113,0.055,0.071,-0.177083333,0.158,0.192,0.111111111,0.02,0.018,-0.025,0.117,0.12,0.035714286,0.087,0.084,1.8,0.014,0.005,-0.022727273,0.043,0.044,1,0.06,0.03,0.044052863,0.237,0.227,-0.211267606,0.056,0.071,0.235294118,0.063,0.051,0.020408163,0.05,0.049
0500000US01093,"Marion County, Alabama",11980,11559,-0.325581395,0.029,0.043,0.030769231,0.067,0.065,0.027906977,0.221,0.215,-0.486486486,0.019,0.037,0.322916667,0.127,0.096,-0.191176471,0.055,0.068,-1,0,0.007,0.8125,0.058,0.032,0.035714286,0.058,0.056,0.126262626,0.223,0.198,-0.365079365,0.04,0.063,-0.133333333,0.052,0.06,-0.161290323,0.052,0.062
0500000US01095,"Marshall County, Alabama",38997,37950,-0.173913043,0.019,0.023,-0.054347826,0.087,0.092,0.009569378,0.211,0.209,-0.1,0.027,0.03,-0.033057851,0.117,0.121,0.384615385,0.054,0.039,-0.166666667,0.015,0.018,0.081081081,0.04,0.037,0,0.077,0.077,0.026595745,0.193,0.188,0.2,0.072,0.06,-0.038461538,0.05,0.052,-0.321428571,0.038,0.056
0500000US01097,"Mobile County, Alabama",174229,169678,-0.153846154,0.011,0.013,0,0.071,0.071,0.133928571,0.127,0.112,0,0.03,0.03,-0.03125,0.124,0.128,0,0.056,0.056,-0.117647059,0.015,0.017,-0.037037037,0.052,0.054,0.010309278,0.098,0.097,-0.029045643,0.234,0.241,0.045454545,0.092,0.088,0.019230769,0.053,0.052,-0.051282051,0.037,0.039
0500000US01099,"Monroe County, Alabama",6422,7247,0.131578947,0.043,0.038,0.2,0.072,0.06,-0.147619048,0.179,0.21,-0.272727273,0.016,0.022,0.48,0.148,0.1,-0.382716049,0.05,0.081,0.083333333,0.013,0.012,-0.184210526,0.031,0.038,0.035087719,0.059,0.057,0.362573099,0.233,0.171,-0.168831169,0.064,0.077,-0.457627119,0.032,0.059,-0.213333333,0.059,0.075
0500000US01101,"Montgomery County, Alabama",100599,99071,-0.2,0.004,0.005,-0.152173913,0.039,0.046,0.116504854,0.115,0.103,-0.136363636,0.019,0.022,0,0.117,0.117,0.078947368,0.041,0.038,0,0.013,0.013,-0.032258065,0.06,0.062,0.059405941,0.107,0.101,0,0.219,0.219,0.03960396,0.105,0.101,0.018518519,0.055,0.054,-0.100840336,0.107,0.119
0500000US01103,"Morgan County, Alabama",51513,51905,-0.363636364,0.007,0.011,0,0.086,0.086,-0.019900498,0.197,0.201,0.15,0.023,0.02,-0.007692308,0.129,0.13,-0.088888889,0.041,0.045,-0.294117647,0.012,0.017,-0.186046512,0.035,0.043,-0.06122449,0.092,0.098,0.153409091,0.203,0.176,-0.060240964,0.078,0.083,-0.019230769,0.051,0.052,0.216216216,0.045,0.037
0500000US01105,"Perry County, Alabama",2325,2793,-0.641304348,0.033,0.092,-0.285714286,0.045,0.063,-0.245283019,0.16,0.212,-0.769230769,0.003,0.013,0.012820513,0.079,0.078,0.362068966,0.079,0.058,8,0.009,0.001,-0.763157895,0.009,0.038,0.029411765,0.035,0.034,0.283524904,0.335,0.261,-0.45,0.055,0.1,1.607142857,0.073,0.028,2.652173913,0.084,0.023
0500000US01107,"Pickens County, Alabama",7136,6661,-0.396551724,0.035,0.058,0.1125,0.089,0.08,-0.089473684,0.173,0.19,0.666666667,0.04,0.024,-0.088888889,0.123,0.135,-0.166666667,0.07,0.084,0.75,0.014,0.008,-0.5,0.028,0.056,0.377777778,0.062,0.045,0.087378641,0.224,0.206,-0.025,0.039,0.04,0.204545455,0.053,0.044,0.724137931,0.05,0.029
0500000US01109,"Pike County, Alabama",14093,14431,-0.041666667,0.023,0.024,-0.152542373,0.05,0.059,-0.244444444,0.136,0.18,-0.15,0.017,0.02,-0.014492754,0.136,0.138,-0.071428571,0.052,0.056,-0.5,0.01,0.02,0.484848485,0.049,0.033,1.171428571,0.076,0.035,-0.090196078,0.232,0.255,0.714285714,0.12,0.07,0.113636364,0.049,0.044,-0.230769231,0.05,0.065
0500000US01111,"Randolph County, Alabama",8628,8440,-0.302325581,0.03,0.043,0.066666667,0.08,0.075,0.041353383,0.277,0.266,1.272727273,0.025,0.011,-0.058252427,0.097,0.103,-0.375,0.045,0.072,0.1875,0.019,0.016,0.363636364,0.045,0.033,1.05,0.082,0.04,-0.082901554,0.177,0.193,-0.183673469,0.04,0.049,-0.203703704,0.043,0.054,-0.090909091,0.04,0.044
0500000US01113,"Russell County, Alabama",23550,22048,0.333333333,0.012,0.009,-0.35443038,0.051,0.079,0.084033613,0.129,0.119,0.363636364,0.015,0.011,0.146788991,0.125,0.109,0.125,0.045,0.04,-0.05,0.019,0.02,-0.157303371,0.075,0.089,0.271428571,0.089,0.07,-0.031674208,0.214,0.221,-0.194444444,0.087,0.108,0.159090909,0.051,0.044,0.074074074,0.087,0.081
0500000US01115,"St. Clair County, Alabama",38881,35366,0.714285714,0.012,0.007,0.1,0.099,0.09,0.028368794,0.145,0.141,0.113636364,0.049,0.044,0.016393443,0.124,0.122,-0.152777778,0.061,0.072,0.058823529,0.018,0.017,-0.211267606,0.056,0.071,0.071428571,0.09,0.084,-0.021978022,0.178,0.182,0.326923077,0.069,0.052,0.017241379,0.059,0.058,-0.327868852,0.041,0.061
0500000US01117,"Shelby County, Alabama",105724,98202,0,0.008,0.008,0.03125,0.066,0.064,-0.037974684,0.076,0.079,-0.054054054,0.035,0.037,0,0.117,0.117,0.311111111,0.059,0.045,-0.305555556,0.025,0.036,-0.009174312,0.108,0.109,-0.040322581,0.119,0.124,0.014563107,0.209,0.206,0.050632911,0.083,0.079,0.092592593,0.059,0.054,-0.097560976,0.037,0.041
0500000US01119,"Sumter County, Alabama",4207,4897,-0.371428571,0.022,0.035,0.333333333,0.044,0.033,-0.008474576,0.117,0.118,-0.318181818,0.015,0.022,0.305263158,0.124,0.095,-0.263157895,0.056,0.076,-0.285714286,0.005,0.007,0.590909091,0.035,0.022,-0.506329114,0.039,0.079,0.094155844,0.337,0.308,0.010416667,0.097,0.096,-0.21875,0.025,0.032,0.106666667,0.083,0.075
0500000US01121,"Talladega County, Alabama",31082,30760,-0.173913043,0.019,0.023,0.016129032,0.063,0.062,0.068627451,0.218,0.204,0,0.025,0.025,0.042016807,0.124,0.119,0.092592593,0.059,0.054,-0.357142857,0.009,0.014,0.155555556,0.052,0.045,-0.153846154,0.055,0.065,0.03902439,0.213,0.205,-0.197674419,0.069,0.086,-0.023809524,0.041,0.042,-0.071428571,0.052,0.056
0500000US01123,"Tallapoosa County, Alabama",15083,16422,0.066666667,0.016,0.015,0.348484848,0.089,0.066,-0.128514056,0.217,0.249,0.166666667,0.021,0.018,-0.072916667,0.089,0.096,0.512195122,0.062,0.041,0,0.007,0.007,0.606060606,0.053,0.033,-0.092307692,0.059,0.065,-0.05859375,0.241,0.256,0,0.055,0.055,0.090909091,0.048,0.044,-0.232142857,0.043,0.056
0500000US01125,"Tuscaloosa County, Alabama",93450,86458,-0.583333333,0.01,0.024,-0.108108108,0.066,0.074,0.233333333,0.148,0.12,-0.130434783,0.02,0.023,-0.130434783,0.1,0.115,0.257142857,0.044,0.035,-0.058823529,0.016,0.017,-0.163265306,0.041,0.049,0.068493151,0.078,0.073,0.020689655,0.296,0.29,0.095744681,0.103,0.094,-0.08,0.046,0.05,-0.111111111,0.032,0.036
